('spn', 'sil', 0.0, 0.0)
('ong', 'iong', 0.0625, 0.03125)
('u', 'uo', 0.09777777777777774, 0.02666666666666667)
('k', 'g', 0.10666666666666669, 0.05333333333333334)
('m', 'n', 0.11734693877551017, 0.03571428571428571)
('b', 'p', 0.11764705882352944, 0.024509803921568627)
('g', 'k', 0.1333333333333333, 0.028070175438596492)
('iong', 'iau', 0.1428571428571429, 0.07142857142857142)
('uei', 'ii', 0.14876033057851235, 0.049586776859504134)
('p', 'b', 0.18181818181818177, 0.045454545454545456)
('h', 'f', 0.18957345971563977, 0.03317535545023697)
('uo', 'ou', 0.2033898305084746, 0.061016949152542375)
('iou', 'u', 0.20895522388059706, 0.03731343283582089)
('ii', 'u', 0.21812080536912748, 0.07046979865771812)
('d', 'b', 0.22037914691943128, 0.05687203791469194)
('ern', 'ng', 0.24193548387096775, 0.043010752688172046)
('s', 'sh', 0.2456896551724138, 0.125)
('z', 'zh', 0.24754901960784315, 0.10049019607843138)
('iau', 'ia', 0.25, 0.057692307692307696)
('un', 'u', 0.25, 0.125)
('rh', 'l', 0.2571428571428571, 0.12857142857142856)
('in', 'ing', 0.2682926829268293, 0.10975609756097561)
('t', 'p', 0.2732558139534884, 0.06976744186046512)
('sh', 's', 0.2784431137724551, 0.1497005988023952)
('ang', 'uang', 0.28, 0.09)
('l', 'n', 0.28125, 0.06770833333333333)
('a', 'au', 0.2823529411764706, 0.08627450980392157)
('an', 'uan', 0.2857142857142857, 0.06428571428571428)
('f', 'b', 0.2857142857142857, 0.05357142857142857)
('zh', 'z', 0.28979591836734697, 0.18775510204081633)
('yuan', 'ern', 0.29166666666666663, 0.08333333333333333)
('ei', 'uei', 0.29591836734693877, 0.07142857142857142)
('er', 'ern', 0.3022388059701493, 0.033582089552238806)
('ng', 'ern', 0.30952380952380953, 0.05952380952380952)
('iang', 'ang', 0.31818181818181823, 0.06818181818181818)
('i', 'yu', 0.32987012987012987, 0.08051948051948052)
('ua', 'a', 0.33333333333333337, 0.16666666666666666)
('uan', 'un', 0.33333333333333337, 0.13725490196078433)
('c', 'ch', 0.33766233766233766, 0.06493506493506493)
('ai', 'err', 0.3438914027149321, 0.11312217194570136)
('ia', 'iau', 0.35, 0.13333333333333333)
('ie', 'ii', 0.3589743589743589, 0.11538461538461539)
('n', 'l', 0.3615384615384616, 0.13076923076923078)
('uang', 'ung', 0.375, 0.125)
('ch', 'c', 0.3771929824561403, 0.21052631578947367)
('yu', 'i', 0.3804347826086957, 0.15217391304347827)
('err', 'er', 0.3846153846153846, 0.15384615384615385)
('ou', 'uo', 0.41975308641975306, 0.14814814814814814)
('yue', 'ii', 0.42105263157894735, 0.13157894736842105)
('o', 'a', 0.4285714285714286, 0.14285714285714285)
('ien', 'yuan', 0.4418604651162791, 0.1511627906976744)
('au', 'a', 0.4508196721311475, 0.1557377049180328)
('ing', 'in', 0.47115384615384615, 0.17307692307692307)
('uai', 'un', 0.4736842105263158, 0.21052631578947367)
('yun', 'ing', 0.5, 0.1)
