('ong', 'iong', 0.0625, 0.03125)
('u', 'uo', 0.10222222222222221, 0.02666666666666667)
('m', 'n', 0.11734693877551017, 0.03571428571428571)
('b', 'p', 0.11764705882352944, 0.024509803921568627)
('k', 'g', 0.12, 0.05333333333333334)
('g', 'k', 0.1333333333333333, 0.028070175438596492)
('iong', 'iau', 0.1428571428571429, 0.07142857142857142)
('uei', 'ii', 0.14876033057851235, 0.049586776859504134)
('p', 'b', 0.18181818181818177, 0.045454545454545456)
('h', 'f', 0.18957345971563977, 0.03317535545023697)
('uo', 'ou', 0.2110726643598616, 0.0657439446366782)
('d', 'b', 0.22037914691943128, 0.05687203791469194)
('iou', 'u', 0.23484848484848486, 0.045454545454545456)
('ern', 'ng', 0.24731182795698925, 0.043010752688172046)
('z', 'zh', 0.24876847290640391, 0.10098522167487685)
('iau', 'ia', 0.25, 0.057692307692307696)
('rh', 'l', 0.25, 0.1323529411764706)
('un', 'u', 0.25, 0.125)
('ii', 'u', 0.2534722222222222, 0.0798611111111111)
('in', 'ing', 0.2682926829268293, 0.0975609756097561)
('t', 'p', 0.2732558139534884, 0.06976744186046512)
('a', 'au', 0.2784313725490196, 0.08627450980392157)
('ang', 'uang', 0.28, 0.09)
('l', 'n', 0.28125, 0.06770833333333333)
('f', 'b', 0.2857142857142857, 0.05357142857142857)
('zh', 'z', 0.28979591836734697, 0.18775510204081633)
('yuan', 'ern', 0.29166666666666663, 0.08333333333333333)
('ei', 'uei', 0.29591836734693877, 0.07142857142857142)
('an', 'uan', 0.30000000000000004, 0.06428571428571428)
('sh', 's', 0.3008474576271186, 0.18220338983050846)
('er', 'ii', 0.3022388059701493, 0.033582089552238806)
('ng', 'ern', 0.30952380952380953, 0.05952380952380952)
('iang', 'ang', 0.31818181818181823, 0.06818181818181818)
('i', 'yu', 0.32987012987012987, 0.08051948051948052)
('ua', 'a', 0.33333333333333337, 0.16666666666666666)
('uan', 'un', 0.33333333333333337, 0.13725490196078433)
('c', 'ch', 0.33766233766233766, 0.06493506493506493)
('ia', 'iau', 0.35, 0.13333333333333333)
('ie', 'yue', 0.35526315789473684, 0.11842105263157894)
('n', 'l', 0.3615384615384616, 0.13076923076923078)
('ai', 'err', 0.3619909502262444, 0.11764705882352941)
('uang', 'ung', 0.375, 0.125)
('ch', 'c', 0.3771929824561403, 0.21052631578947367)
('err', 'er', 0.3846153846153846, 0.15384615384615385)
('yu', 'i', 0.3913043478260869, 0.15217391304347827)
('s', 'sh', 0.4082278481012658, 0.2626582278481013)
('ou', 'uo', 0.41975308641975306, 0.14814814814814814)
('yue', 'ii', 0.42105263157894735, 0.13157894736842105)
('o', 'a', 0.4285714285714286, 0.14285714285714285)
('ien', 'yuan', 0.4418604651162791, 0.1511627906976744)
('au', 'a', 0.4508196721311475, 0.1557377049180328)
('ing', 'in', 0.47115384615384615, 0.17307692307692307)
('uai', 'un', 0.4736842105263158, 0.21052631578947367)
('yun', 'ing', 0.5, 0.1)
('spn', 'sh', 0.6666666666666667, 0.3333333333333333)
